x0,x1,y
1.0,0.42781,3.816464
1.0,0.9957309999999999,4.550095
1.0,0.738336,4.256571
1.0,0.981083,4.560815
1.0,0.526171,3.9295150000000003
1.0,0.378887,3.5261699999999996
1.0,0.033859,3.156393
1.0,0.13279100000000002,3.1103009999999998
1.0,0.13830599999999998,3.149813
1.0,0.247809,3.476346
1.0,0.64827,4.119688
1.0,0.731209,4.282233
1.0,0.236833,3.486582
1.0,0.9697879999999999,4.655492
1.0,0.607492,3.9651620000000003
1.0,0.358622,3.5149
1.0,0.147846,3.125947
1.0,0.6378199999999999,4.094115
1.0,0.230372,3.476039
1.0,0.070237,3.21061
1.0,0.06715399999999999,3.190612
1.0,0.9255770000000001,4.6315040000000005
1.0,0.717733,4.29589
1.0,0.015371000000000001,3.085028
1.0,0.33507,3.4480800000000005
1.0,0.040486,3.16744
1.0,0.212575,3.364266
1.0,0.617218,3.9934819999999998
1.0,0.541196,3.891471
1.0,0.045353,3.143259
1.0,0.12676199999999999,3.114204
1.0,0.5564859999999999,3.8514839999999997
1.0,0.9011440000000001,4.621899
1.0,0.958476,4.580768
1.0,0.274561,3.6209919999999998
1.0,0.394396,3.5805010000000004
1.0,0.8724799999999999,4.6187059999999995
1.0,0.40993199999999996,3.6768669999999997
1.0,0.908969,4.641845
1.0,0.166819,3.175939
1.0,0.6650159999999999,4.26498
1.0,0.263727,3.5584480000000003
1.0,0.23121399999999998,3.436632
1.0,0.552928,3.8310519999999997
1.0,0.047744,3.1828529999999997
1.0,0.365746,3.498906
1.0,0.49500200000000005,3.9468330000000003
1.0,0.49346599999999996,3.900583
1.0,0.792101,4.238522
1.0,0.76966,4.23308
1.0,0.251821,3.521557
1.0,0.181951,3.203344
1.0,0.808177,4.278105
1.0,0.33411599999999997,3.555705
1.0,0.33863000000000004,3.5026610000000002
1.0,0.45258400000000004,3.859776
1.0,0.69477,4.275956
1.0,0.590902,3.9161910000000004
1.0,0.30792800000000004,3.587961
1.0,0.14836400000000002,3.183004
1.0,0.70218,4.225236
1.0,0.721544,4.231083
1.0,0.666886,4.240544
1.0,0.124931,3.222372
1.0,0.618286,4.021445
1.0,0.38108600000000004,3.567479
1.0,0.38564299999999996,3.56258
1.0,0.777175,4.262059
1.0,0.11608900000000001,3.208813
1.0,0.11548699999999999,3.169825
1.0,0.66351,4.193949
1.0,0.254884,3.491678
1.0,0.9938879999999999,4.533306
1.0,0.29543400000000003,3.5501080000000003
1.0,0.952523,4.636426999999999
1.0,0.30704699999999996,3.5570779999999997
1.0,0.27726100000000004,3.5528739999999996
1.0,0.27910100000000004,3.494159
1.0,0.175724,3.206828
1.0,0.156383,3.195266
1.0,0.733165,4.221292
1.0,0.8481420000000001,4.413372
1.0,0.771184,4.184347
1.0,0.429492,3.7428779999999997
1.0,0.162176,3.201878
1.0,0.917064,4.648964
1.0,0.315044,3.5101169999999997
1.0,0.201473,3.274434
1.0,0.297038,3.579622
1.0,0.336647,3.4892440000000002
1.0,0.6661090000000001,4.237386
1.0,0.583888,3.9137489999999997
1.0,0.085031,3.22899
1.0,0.687006,4.2862860000000005
1.0,0.9496549999999999,4.628614
1.0,0.189912,3.239536
1.0,0.8440270000000001,4.457997
1.0,0.33328800000000003,3.513384
1.0,0.42703500000000005,3.7296739999999997
1.0,0.466369,3.8342739999999997
1.0,0.550659,3.8111550000000003
1.0,0.278213,3.5983160000000005
1.0,0.9187690000000001,4.692514
1.0,0.886555,4.604858999999999
1.0,0.569488,3.8649120000000003
1.0,0.066379,3.184236
1.0,0.335751,3.500796
1.0,0.426863,3.7433650000000003
1.0,0.395746,3.6229050000000003
1.0,0.694221,4.310796
1.0,0.27276,3.583357
1.0,0.503495,3.901852
1.0,0.06711900000000001,3.233521
1.0,0.038326,3.105266
1.0,0.599122,3.8655440000000003
1.0,0.9470540000000001,4.628625
1.0,0.671279,4.2312129999999994
1.0,0.43481099999999995,3.791149
1.0,0.5093810000000001,3.968271
1.0,0.749442,4.253909999999999
1.0,0.058013999999999996,3.1947099999999997
1.0,0.48297799999999996,3.9965029999999997
1.0,0.466776,3.904358
1.0,0.357767,3.503976
1.0,0.9491229999999999,4.557544999999999
1.0,0.41731999999999997,3.699876
1.0,0.9204610000000001,4.613614
1.0,0.156433,3.1404009999999998
1.0,0.656662,4.206717
1.0,0.616418,3.969524
1.0,0.8534280000000001,4.476096
1.0,0.133295,3.1365279999999998
1.0,0.6930069999999999,4.279071
1.0,0.178449,3.200603
1.0,0.199526,3.2990120000000003
1.0,0.073224,3.209873
1.0,0.286515,3.632942
1.0,0.182026,3.248361
1.0,0.6215229999999999,3.9957830000000003
1.0,0.344584,3.5632620000000004
1.0,0.398556,3.649712
1.0,0.48036899999999993,3.9518449999999996
1.0,0.15335,3.145031
1.0,0.171846,3.181577
1.0,0.867082,4.637087
1.0,0.22385500000000003,3.404964
1.0,0.528301,3.873188
1.0,0.890192,4.633648
1.0,0.106352,3.1547680000000002
1.0,0.9178860000000001,4.623637
1.0,0.014855000000000002,3.078132
1.0,0.567682,3.913596
1.0,0.068854,3.2218169999999997
1.0,0.603535,3.938071
1.0,0.53205,3.880822
1.0,0.651362,4.176436
1.0,0.901225,4.648161
1.0,0.204337,3.3323120000000004
1.0,0.6960810000000001,4.240614
1.0,0.963924,4.532223999999999
1.0,0.98139,4.557105
1.0,0.9879110000000001,4.610072
1.0,0.9909469999999999,4.636569000000001
1.0,0.736021,4.229813
1.0,0.25357399999999997,3.50086
1.0,0.674722,4.245514
1.0,0.939368,4.605182
1.0,0.23541900000000002,3.45434
1.0,0.11052100000000001,3.180775
1.0,0.218023,3.3808199999999995
1.0,0.869778,4.56502
1.0,0.19683,3.2799730000000005
1.0,0.9581780000000001,4.554241
1.0,0.972673,4.63352
1.0,0.745797,4.281037
1.0,0.44567399999999996,3.8444260000000003
1.0,0.47055699999999995,3.891601
1.0,0.549236,3.849728
1.0,0.33569099999999996,3.4922150000000003
1.0,0.8847389999999999,4.5923739999999995
1.0,0.918916,4.632025
1.0,0.44181499999999996,3.75675
1.0,0.11659800000000001,3.133555
1.0,0.359274,3.5679190000000003
1.0,0.814811,4.363382
1.0,0.387125,3.560165
1.0,0.982243,4.564305
1.0,0.78088,4.215055
1.0,0.652565,4.174999
1.0,0.87003,4.58664
1.0,0.604755,3.960008
1.0,0.255212,3.5299629999999995
1.0,0.730546,4.213412
1.0,0.493829,3.9086849999999997
1.0,0.257017,3.5858209999999997
1.0,0.833735,4.374394000000001
1.0,0.070095,3.2138169999999997
1.0,0.5270699999999999,3.9526809999999997
1.0,0.11616300000000002,3.129283
